Class,precision,recall,f1-score,support,Total Images,Misclassified Images
Apple___Apple_scab,0.9993286337697214,0.984457671957672,0.9918374146260204,6048.0,6048,94
Apple___Black_rot,0.99983119513842,0.9931254191817572,0.9964670255720054,5964.0,5964,41
Apple___Cedar_apple_rust,1.0,0.9931818181818182,0.9965792474344356,2640.0,2640,18
Apple___healthy,0.9926526475804408,0.9924012158054711,0.9925269157694744,3948.0,3948,30
Blueberry___healthy,0.992022008253095,1.0,0.9959950283110067,3606.0,3606,0
Cherry_(including_sour)___Powdery_mildew,0.9988132911392406,0.9996041171813144,0.999208547685002,2526.0,2526,1
Cherry_(including_sour)___healthy,0.9965936739659368,0.9980506822612085,0.9973216459702946,2052.0,2052,4
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8679245283018868,0.8846153846153846,0.8761904761904762,52.0,52,6
Corn_(maize)___Common_rust_,1.0,1.0,1.0,120.0,120,0
Corn_(maize)___Northern_Leaf_Blight,0.9423076923076923,0.98989898989899,0.9655172413793104,99.0,99,1
Corn_(maize)___healthy,1.0,1.0,1.0,2790.0,2790,0
Grape___Black_rot,0.9970062516509641,0.999558615819209,0.9982808022922636,11328.0,11328,5
Grape___Esca_(Black_Measles),0.9996228407633703,0.9975910870219813,0.9986059304472326,13284.0,13284,32
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9843205574912892,0.9920983318700615,10332.0,10332,162
Grape___healthy,0.9769452449567724,1.0,0.9883381924198251,1017.0,1017,0
Orange___Haunglongbing_(Citrus_greening),0.9981916817359855,1.0,0.9990950226244344,552.0,552,0
Peach___Bacterial_spot,0.9871794871794872,1.0,0.9935483870967742,231.0,231,0
Peach___healthy,0.8809523809523809,1.0,0.9367088607594937,37.0,37,0
"Pepper,_bell___Bacterial_spot",0.9986568166554735,0.9953145917001339,0.9969829031176668,2988.0,2988,14
"Pepper,_bell___healthy",0.9960640989597975,0.9983093829247676,0.9971854770616381,3549.0,3549,6
Potato___Early_blight,1.0,0.999,0.9994997498749375,3000.0,3000,3
Potato___Late_blight,0.9996618194115657,0.9853333333333333,0.9924458620110794,3000.0,3000,44
Potato___healthy,0.9864130434782609,0.9918032786885246,0.989100817438692,366.0,366,3
Raspberry___healthy,1.0,1.0,1.0,891.0,891,0
Soybean___healthy,0.9864341085271318,1.0,0.9931707317073171,509.0,509,0
Squash___Powdery_mildew,0.9583333333333334,1.0,0.9787234042553191,184.0,184,0
Strawberry___Leaf_scorch,0.985207100591716,1.0,0.992548435171386,2664.0,2664,0
Strawberry___healthy,0.9990867579908675,0.9990867579908675,0.9990867579908675,1095.0,1095,1
Tomato___Bacterial_spot,0.9995255416732564,0.9904403698479862,0.9949622166246851,6381.0,6381,61
Tomato___Early_blight,0.9879518072289156,0.984,0.9859719438877755,3000.0,3000,48
Tomato___Late_blight,0.9768835616438356,0.9961585472324079,0.9864269041238005,5727.0,5727,22
Tomato___Leaf_Mold,0.9971988795518207,0.9971988795518207,0.9971988795518207,2856.0,2856,8
Tomato___Septoria_leaf_spot,0.9664661928193913,0.9981178242047807,0.982037037037037,5313.0,5313,10
Tomato___Spider_mites Two-spotted_spider_mite,0.9860483395559049,0.9980111376292761,0.9919936740140358,5028.0,5028,10
Tomato___Target_Spot,0.9932285368802902,0.9750712250712251,0.9840661315442674,4212.0,4212,105
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9798534798534798,0.9962756052141527,0.9879963065558633,537.0,537,2
Tomato___Tomato_mosaic_virus,0.9902654867256637,1.0,0.9951089373054691,1119.0,1119,0
Tomato___healthy,0.9963398692810458,0.9979052107881644,0.9971219256933542,3819.0,3819,8
